x,y,z,yaw
123.246270738,33.3350132169,0,51.0234128039
124.062289659,34.3435550398,0,50.7353932243
124.888064201,35.3537268778,0,50.4599747474
125.723368262,36.3655907209,0,50.1968993718
126.567975741,37.3792085594,0,49.9459171829
127.421660537,38.3946423833,0,49.706786319
128.28419655,39.4119541829,0,49.4792729147
129.155357679,40.4312059483,0,49.2631510261
130.034917821,41.4524596697,0,49.0582025394
130.922650878,42.4757773373,0,48.8642170663
131.818330747,43.5012209411,0,48.6809918273
132.721731327,44.5288524714,0,48.5083315257
133.632626518,45.5587339184,0,48.3460482143
134.550790219,46.5909272721,0,48.1939611553
135.475996328,47.6254945228,0,48.0518966751
136.408018746,48.6624976606,0,47.9196880162
137.34663137,49.7019986757,0,47.7971751861
138.291608099,50.7440595582,0,47.684204804
139.242722834,51.7887422983,0,47.5806299472
140.199749473,52.8361088862,0,47.4863099973
141.162461914,53.886221312,0,47.401110486
142.130634058,54.9391415659,0,47.324902943
143.104039802,55.9949316381,0,47.2575647438
144.082453047,57.0536535187,0,47.19897896
145.065647691,58.1153691978,0,47.1490342118
146.053397633,59.1801406657,0,47.1076245215
147.045476772,60.2480299125,0,47.0746491705
148.041659007,61.3190989284,0,47.0500125583
149.041718237,62.3934097035,0,47.033624064
150.045428362,63.471024228,0,47.0253979107
151.05256328,64.552004492,0,47.0252530325
152.062896891,65.6364124857,0,47.033112944
153.076203093,66.7243101994,0,47.0489056129
154.092255785,67.815759623,0,47.0725633345
155.110828867,68.9108227469,0,47.1040226097
156.131696237,70.0095615611,0,47.1432240247
157.154631795,71.1120380559,0,47.1901121334
158.17940944,72.2183142213,0,47.244635342
159.20580307,73.3284520476,0,47.306745796
160.233586585,74.4425135249,0,47.3763992686
161.262533884,75.5605606434,0,47.4535550515
162.292418866,76.6826553932,0,47.5381758474
163.323015429,77.8088597645,0,47.6302276638
164.354097473,78.9392357475,0,47.7296797082
165.385438897,80.0738453323,0,47.8365042844
166.4168136,81.2127505091,0,47.9506766906
167.447995481,82.356013268,0,48.0721751171
168.478758439,83.5036955993,0,48.2009805455
169.508876373,84.655859493,0,48.337076648
170.538123182,85.8125669393,0,48.4804496875
171.566272765,86.9738799285,0,48.6310884166
172.593099021,88.1398604506,0,48.7889839775
173.61837585,89.3105704959,0,48.9541298014
174.64187715,90.4860720544,0,49.1265215064
175.66337682,91.6664271164,0,49.3061567958
176.682648759,92.851697672,0,49.4930353546
177.699466867,94.0419457113,0,49.6871587451
178.713605042,95.2372332246,0,49.8885303008
179.724837184,96.437622202,0,50.097155019
180.732937191,97.6431746337,0,50.313039451
181.737678962,98.8539525097,0,50.5361915909
182.738836398,100.07001782,0,50.7666207611
183.736183395,101.291432556,0,51.0043374964
184.729493855,102.518258706,0,51.2493534244
185.718541675,103.750558262,0,51.5016811436
186.703100755,104.988393212,0,51.7613340981
187.682944993,106.231825548,0,52.0283264488
188.65784829,107.48091726,0,52.3026729415
189.627584543,108.735730337,0,52.5843887709
190.591927652,109.99632677,0,52.8734894411
191.550651516,111.262768549,0,53.1699906215
192.503530034,112.535117665,0,53.4739079994
193.450337105,113.813436107,0,53.7852571277
194.390846628,115.097785865,0,54.1040532682
195.324832502,116.38822893,0,54.4303112306
196.252068626,117.684827292,0,54.7640452071
197.172328899,118.987642941,0,55.1052686021
198.085387221,120.296737867,0,55.4539938571
198.99101749,121.61217406,0,55.8102322718
199.888993605,122.934013511,0,56.1739938197
